timestamp,modulo,temperatura (°C),umidità (%)
2025-04-30 11:40:25,a,28.78,36.03
2025-04-30 11:40:30,a,28.77,36.37
2025-04-30 11:40:35,a,28.77,35.66
2025-04-30 11:40:40,a,28.77,35.58
2025-04-30 11:40:45,a,28.77,35.40
2025-04-30 11:40:50,a,28.79,35.42
2025-04-30 11:40:55,a,28.78,36.46
2025-04-30 11:41:00,a,28.78,36.44
2025-04-30 11:41:05,a,28.77,35.71
2025-04-30 11:41:10,a,28.75,35.45
2025-04-30 11:41:15,a,28.75,35.35
2025-04-30 11:41:20,a,28.74,35.30
2025-04-30 11:41:25,a,28.74,35.17
